description	isbn
 히가시노 게이고 소설. '가가 형사 시리즈' 아홉 번째 작품이다. 일본에서는 영화로 만들어져 공전의 히트를 기록했다. 가족애를 그린 감동적인 휴먼스토리에 수많은 일본인들이 눈물을 흘리며 환호했다. 작가 자신도 가족애를 그린 이 작품을 '가가 형사 시리즈' 중 최고의 걸작으로 꼽는다고 밝힌 바 있다.	9788990982674
 더위를 이겨내는 기발한 수영장, 특별한 이야기!한적한 시골 마을, 이곳에선 해마다 여름 햇볕이 한창 뜨거워지면 ‘수박 수영장’이 개장합니다. 엄청나게 큰 수박이 “쩍” 하고 반으로 갈라지면서 온 마을 사람들이 함께 들어가 놀 수 있게 됩니다. 논일을 하던 아저씨들도, 고무줄놀이를 하던 아이들도, 빨래를...	9788936446819
 아들딸에게 쓰는 엄마의 반성문!아들딸에게 쓰는 엄마의 반성문!『엄마 반성문』은 늘 1등 교사, 1등 엄마로 자신만만했던 초등학교 교장 선생님인 저자가 전교 1등의 고3 아들의 느닷없는 자퇴 선언을 시작으로 고2 딸의 연이은 자퇴, 그리고 이어진 악몽 같은 사건들을 겪은 후 절망의 끝에서 코칭을 만난 후...	9791185716541
 국민 역사 강사 설민석의 첫 한국사 학습 만화로, 한국사 지식을 기본적으로 다루고 있다. 설민석 선생님과 태건 역사 연구소가 철저하게 고증하여 정확한 역사 지식을 어린이들에게 전달하려고 노력했다.	9791195794799
 한국인 최초, 동아시아 최초 바티칸 대법원 로타 로마나 변호사이자 가톨릭 사제인 한동일 교수가 2010년부터 2016년까지 서강대학교에서 진행했던 강의를 책으로 옮겼다. 책 말미에는 수업을 들었던 제자들이 책 출간을 기념해 보내온 편지를 함께 실었다.	9788965962205
 삶의 한가운데, 지쳐가는 당신에게 ‘빨강머리 앤이 하는 말’삶의 한가운데, 기대를 잊고 실망에 지쳐가는 우리에게,웃음과 위로를 찾아주는 ＜빨강머리 앤이 하는 말＞! “이 전환점을 돌면 어떤 것이 있을지 알 수 없습니다.  하지만 난 그 뒤엔 가장 좋은 것이 있다고 믿고 싶어요!”캐나다...	9788950965693
 SK, LG, 삼성을 비롯한 수많은 기업과 개인 코칭을 통해 얻은 말에 대한 근본적인 성찰. 사람마다 가지고 있는 자신의 말 그릇의 의미에 대해 생각해보고 어떻게 하면 나의 말 그릇을 보다 단단하고 깊이 있게 만들 수 있는지 알려준다.	9791185952987
 국민 역사 강사 설민석의 첫 한국사 학습만화 시리즈로, 3권 ‘문화유산 편’에서는 선조들이 남긴 훌륭한 문화유산에 대한 이야기를 하고 있다. 아울러 문화유산을 대하는 우리의 태도에 대해서도 설쌤과 온달, 평강의 여행을 통해서 어린이들이 배울 수 있다.	9791196025847
 국민 역사 강사 설민석의 첫 한국사 학습만화 시리즈로, 한국사 지식을 기본적으로 다루고 있다. 2권에서는 삼국 통일과 몽골의 침입, 조선 건국, 3.1 운동, 독도 등 굵직한 한국사 사건을 공부하고, 어린이들이 한국사 지식과 함께 키워야할 덕목에 대해서 이야기한다.	9791196025809
 SNS와 전작 &lt;#너에게&gt;를 통해 50만 명에 이르는 독자들에게 사랑받은 하태완 작가의 두 번째 에세이로, 위로받고 싶을 때, 설레고 싶을 때, 사람에 사랑에 상처받았을 때… 삶의 모든 순간에 특별한 위로와 공감을 건넨다.	9791162202913
 드디어 평강의 아버지이자 고구려의 왕을 만나게 된 온달. 온달은 먹을 것과 관련한 이야기를 늘어놓으며 왕의 환심을 사게 된다. 하지만 황 대감은 공갈에게도 기회를 주자며 온달과 공갈의 대결을 제안한다. 왕은 동맹이 시작하는 날 두 사람이 부마 자리를 두고 대결할 것을 결정한다. 다급해진 설쌤 일행은...	9791196025861
 인류는 어디로 갈 것인가. &lt;사피엔스&gt; 저자 유발 하라리의 후속작. 역사의 시간 동안 인류의 가장 큰 과제이던 굶주림, 질병 그리고 전쟁을 밀어내고 그 자리를 차지한 것은 무엇인가? 10만 년간 지속되어온 호모 사피엔스의 믿음을 한순간에 뒤엎은 역사 탐구서이다.	9788934977841
 제51회 에드가와란포상 수상작가 야쿠마루 가쿠 장편 미스터리 추리소설. 주인공이 과거에 저지른 죄, 그리고 15년 전에 했던 어떤 약속을 둘러싸고 벌어지는 미스터리 소설이다. 사람이 죄를 지으면 어떻게 그 대가를 치러야 할까?	9788998274795
 100층짜리 집 시리즈 3권. 바다 속 100층짜리 집을 10층씩 내려가는 사이 각각 다른 동물들을 만나게 된다. 차례차례 나타나는 바다에 사는 동물들의 특징을 기발한 상상력으로 오밀조밀하게 그려놓아, 그림만 살펴보아도 바다에 사는 동물들의 생태를 알 수 있다.	9788966350278
 거침없는 문제제기로 우리 사회의 핫 이슈를 정조준해온 작가 김진명이 소름끼치는 통찰과 충격적 예언을 담은 작품을 들고 왔다. &lt;미중전쟁&gt;은 밀리언셀러 &lt;무궁화꽃이 피었습니다&gt;와 &lt;싸드&gt;의 종결판으로, 30년 작가 인생을 건 충격적인 팩트 소설이다.	9788965705468
 교육학, 인지심리학, 뇌과학, 행동경제학 등이 밝혀낸 이론을 통한 과학적 접근뿐만 아니라 실제 수천 명의 학생 및 직장인들과의 상담을 통해 축적된 실전적 노하우가 함께 녹여져 있다. 공부의 본질에 그 어떤 책보다 가깝게 다가선다.	9791160486735
 &lt;언니의 독설&gt;에서 흔들리는 30대 여성들에게 거침없는 독설을 날리고, &lt;꿈이 있는 아내는 늙지 않는다&gt;에서 아내들에게 잃어버린 꿈을 되찾아준 김미경의 신작.	9788950972226
 베르나르 베르베르 장편소설. 주인공은 자크 클라인, 28세의 의대생이다. 항해사인 아버지 카롤린은 아들 자크가 어렸을 때부터 꿈을 통제하는 법을 가르쳤고, 역설수면이라고 불리는 수면의 5번째 단계에서 자신만의 꿈 세계인 상상의 분홍 모래섬을 만들어 들어갈 수 있도록 도왔는데….	9788932918372
 거침없는 문제제기로 우리 사회의 핫 이슈를 정조준해온 작가 김진명이 소름끼치는 통찰과 충격적 예언을 담은 작품을 들고 왔다. &lt;미중전쟁&gt;은 밀리언셀러 &lt;무궁화꽃이 피었습니다&gt;와 &lt;싸드&gt;의 종결판으로, 30년 작가 인생을 건 충격적인 팩트 소설이다.	9788965705451
 국민 역사 강사 설민석의 첫 한국사 학습만화 시리즈로, 한국사 지식을 기본적으로 다루고 있다. 설민석 선생님과 태건 역사 연구소가 철저하게 고증하여 정확한 역사 지식을 어린이들에게 전달하려고 노력했다.	9791196232160
 1977년 월트 디즈니의 스튜디오에서 탄생하여 92년간 전 세계 아이들에게 행복을 전한 애니메이션 [곰돌이 푸]. 곰돌이 푸를 기억하고 그리워하는 독자들을 위한 책이 출간되었다. &lt;곰돌이 푸, 행복한 일은 매일 있어&gt;는 푸의 메시지와 삽화가 담긴 책이다.	9788925563350
 마음을 표현하는 80개의 단어를 담은 책이다. 구체적이고 실감 나는 그림과 친절한 설명을 통해 다양한 감정 표현을 익힘으로써 자기 마음을 정확하게 이해하고 표현하는 것은 물론, 더 다양한 감정을 느낄 수 있도록 돕는다.	9788936447014
 기발한 상상력이 돋보이는 색다른 감각의 숫자 그림책. 위로 위로 하늘 100층짜리 집을 10층, 20층, 30층… 이렇게 10층씩 올라가는 사이 각각 다른 의인화한 하늘의 존재들을 만나게 된다.	9788966350759
 오늘의 젊은 작가 17권. 김혜진 장편소설. 혐오와 배제의 폭력에 노출되어 있는 여성들에 대한 이야기다. 엄마인 '나'와 딸, 그리고 딸의 동성 연인이 경제적 이유로 동거를 시작한다. 이들의 불편한 동거가 이어지며 엄마의 일상은 예기치 못한 방향으로 흘러간다.	9788937473173
 대한민국 ‘대표 글쟁이’ 유시민의 글쓰기 특강!유시민은 데뷔작 《거꾸로 읽는 세계사》부터 최신작 《어떻게 살 것인가》, 《나의 한국현대사》까지, 출간한 거의 모든 책이 베스트셀러에 오르면서 명실상부한 대한민국의 ‘대표 글쟁이’로 자리매김했다. 그러니 “글 잘 쓰는 비결이 있나요?”, “어떻게...	9788965133520
 사계절 그림책 시리즈. 개성 넘치는 젊은 작가 박정섭의 세 번째 창작그림책이다. 소문, 거짓말, 따돌림… 소재는 무겁지만 그림에는 장난기가 가득하다. 또 하나 재미있는 점은 장면을 설명하는 글 대신 아귀와 물고기 떼가 주고받는 대화로만 이야기를 끌고 가는 것이다.	9788958284482
 시인 박준의 첫 산문집 &lt;운다고 달라지는 일은 아무것도 없겠지만&gt; 다시 여름, 한정판 리커버 에디션. 새 그림과 새 시로 여름용 새 옷을 지어 입었다. 이 책은 박준 시인이 그간 제 시를 함께 읽어주고 함께 느껴주고 함께 되새겨준 여러분들에게 보내는 한 권의 답서이자 연서이다.	9791196075170
 히가시노 게이고가 이번엔 '추격전'으로 돌아왔다. 스노보드를 즐기는 평범한 대학생 와키사카 다쓰미. 어느 날 스키장에서 돌아오니 갑자기 살인 용의자가 되어 있었다. 모든 증거들이 꼼짝없이 다쓰미를 범인이라고 가리키고 있는 상태. 다쓰미는 그때 자신의 알리바이를 증명해줄 유일한 사람을 생각해낸다.	9791161902845
 다양한 문화 권역으로 '페미니즘' 이슈가 한창인 현재, 한국 사회에서 글을 쓰는 여성으로 살아가는 3-40대 작가들이 국내 최초로 '페미니즘'이라는 테마 아래 발표한 소설집이다. 조남주, 최은영, 김이설, 최정화, 손보미, 구병모, 김성중 등 여성 작가 7인이 함께했다.	9791130614779
 모든 살아남고자 하는 것들에 관한 이야기!정유정의 장편소설 『28』. 《내 심장을 쏴라》, 《7년의 밤》의 작가 정유정이 2년 3개월 만에 선보이는 저자의 이번 소설은 ‘불볕’이라는 뜻의 도시 ‘화양’에서 펼쳐지는 28일간의 이야기를 담고 있다. 인간과 살아 있는 모든 것들의 생존을 향한 갈망과 뜨거운...	9788956607030
 , 의 작가 히가시노 게이고의 장편소설. 한 여자가 한 남자를 살해한다. 그녀를 너무도 사랑한 천재 수학자는 자신의 모든 인생을 걸고 완전범죄를 보장하고 나선다. 한편, 천재 물리학자가 이 정교한 살인 수식을 집요하게 파헤치기 시작하는데... 2006년 제134회 나오키 상 수상작.	9788972753698
 456 Book 클럽 시리즈. 앤디와 테리는 ‘65층 나무 집’을 13층 더 올려 짓는다. 78층 나무 집에는 나무 집을 영화로 만들기 위해 할리우드에서 유명한 왕대박 감독이 와 있다. 그런데 왕대박 감독은 앤디가 필요 없다며 앤디 대신 원숭이 ‘원승희’ 배우를 캐스팅하는데….	9788952784933
 전설이 된 베스트셀러!&#x0D;나오기만 기다렸다! 독자들이 들썩들썩!&#x0D;&#x0D;* 프랑스, 미국, 독일, 일본 등 전 세계 25개국 출간!&#x0D;* 『뉴욕타임스』 베스트셀러 작가가 자신 있게 선보이는 책!&#x0D;* 3년 연속 호주출판업상(ABIA) 올해의 어린이책 상 수상 &#x0D;* 2015 호주출판업상(ABIA) 올해의...	9788952786470
 &lt;멈추면, 비로소 보이는 것들&gt;의 저자 혜민 스님의 4년 만의 신작. 완벽하지 않은 것들로 가득한 나 자신과 가족, 친구, 동료, 나아가 이 세상을 향한 온전한 사랑의 메시지를 담고 있다.	9791195322183
 시간의 흐름 속에 숨겨진 마법 같은 비밀!제1회 자음과모음 청소년문학상을 수상한 김선영의 작품 『시간을 파는 상점』. 심사위원들의 만장일치로 선정된 당선작으로, 흐르는 시간이라는 소재를 다루고 있다. 소방대원으로 더불어 사는 삶을 실천하다 일찍 세상을 떠난 아빠의 뜻을 이어받은 주인공 온조....	9788954427173
 한국에서 13번째로 출간하는 기욤 뮈소의 장편소설. '브루클린의 소녀'는 기욤 뮈소가 새로운 스타일의 작품을 쓰기 위해 얼마나 치밀하게 연구하는 작가인지 새삼 확인할 수 있는 작품이다.	9788984373068
 SNS 500만 뷰 화제의 만화 '행복한 고구마'를 그린 도대체 작가의 그림 에세이. '어쩐지 의기양양 도대체 씨의 띄엄띄엄 인생 기술'이라고 부제가 붙은 이 책에는 어떤 상황에서도 기필코 즐거움을 찾아내는 도대체 작가의 순간포착 폭풍공감 에피소드가 가득하다.	9788959135592
 어학연수, 회화 학원 한 번 다니지 않고 30년 독학으로 습득한 저자의 영어 공부 노하우를 담은 책	9788960863132
 2012년 7월에 출간된 이후 5년이 넘은 현재까지도 꾸준한 사랑을 받으며 스테디셀러로 자리 잡은 &lt;스물아홉 생일, 1년 후 죽기로 결심했다&gt;가 독자들의 변함없는 성원에 힘입어 '케이크 에디션'으로 출간되었다.	9788959136896
 &lt;싸드&gt;를 통해 한반도 사드 배치를 예언하고, 미·중 갈등까지 예견했던 김진명. 이번에 김진명의 거대한 상상과 예리한 촉이 향한 곳은 미·소의 파워 게임이 한창이던 1980년대의 세계다. 뉴욕, 베를린, 비엔나, 모스크바 그리고 평양을 종횡무진하며 광대한 스케일을 선보인다.	9791187192466
 &lt;미움받을 용기&gt; 2권. 3년 전 홀가분하고 희망 찬 마음으로 철학자의 서재를 떠났던 청년이 '중대한 고민'이 있다며 다시 철학자의 서재를 찾았다. '행복으로 가는 길'을 제시했던 전작에 이어 '행복으로 가는 구체적인 방법'에 대해서 다루고 있다.	9791186560129
 아이는 천천히 배운다. 아이가 낯선 상황과 주어진 조건을 이해하고, 뇌에서 그것을 처리하고 행동으로 옮기기까지는 시간이 걸린다. 이때 부모는 ‘참아 주는 것’이 아니라 ‘당연히 기다리는 것’으로 생각해야 한다. 부모가 참아 준다고 생각하면, ‘이만큼 참아 줬으면 됐지!’ 하고 욱한다.	9788997396658
 19년째 대한민국 수험생과 한국능력검정시험, 공무원 시험 등 한국사 과목에서 자타공인 최고의 선생님으로 알려진 설민석. [무한도전] TV 특강 편에 출연 폭넓은 지식과 재치 있는 입담으로 시청자의 이목을 끌기도 했다. 이 책은 설민석의 대국민 '한국사 바로 알기' 프로젝트이다.	9788954623773
 쫓기듯 사는 삶에 지친 이들에게 혜민 스님이 전하는 지혜로운 이야기!종교와 인종, 가치관을 뛰어넘어 진정한 인생의 잠언을 들려주는 혜민 스님의 에세이『멈추면, 비로소 보이는 것들』. 이 책은 관계에 대해, 사랑에 대해, 마음과 인생에 대해 머리로는 알지만 마음으로는 안 되는 것들에 대해 파워...	9788965700609
 고바야시 야스미 소설. 루이스 캐럴의 환상소설 &lt;이상한 나라의 앨리스&gt;를 바탕으로 꿈과 현실 사이를 오가며 연쇄살인마를 추적하는 과정을 그린 작품으로, '고전과 미스터리의 성공적 결합'이라는 호평을 받았다.	9788952775184
 거대한 중국을 무대로 활약하는 이들의 열정과 야망!역사인식에 기반을 둔 소설을 발표하며 부패한 권력에 대한 비판, 민중에 대한 신뢰를 담은 이야기들로 대중의 정서적 뿌리를 견고하게 지켜준 공로를 인정받으며 2017 은관 문화훈장을 수상한 조정래의 장편소설 『정글만리』 제1권. 인터넷 포털사이트...	9788965744023
 &lt;다빈치 코드&gt; 작가 댄 브라운의 신과 과학 그리고 미래에 대한 대담한 질문. &lt;다빈치 코드&gt;를 비롯한 그의 전작들이 그러하듯 &lt;오리진&gt; 역시 우리가 ‘당연하게’ 믿어왔던 진실에 물음표를 던진다.	9788983926845
